movieCd,openDt,year,month,day,movieNm,movieNmEn,directorpeopleNm
20209948,,,,,바람아 안개를 걷어가다오,20209948,신동민
20201282,,,,,쓰루 더 파이어,20201282,
20204432,,,,,애비규환,20204432,최하나
20201961,,,,,인어공주: 매직어드벤처,20201961,
20190505,,,,,리메인,20190505,김민경
20209002,20200608,2020,06,08,지구 침공: 컨테이젼,20209002,
20209201,20200608,2020,06,08,웨이크필드 프로젝트,20209201,
20195483,20200624,2020,06,24,에이브의 쿠킹 다이어리,20195483,
20208617,20200701,2020,07,01,인베이젼 2020,20208617,표도르 본다르추크
20209685,20200709,2020,07,09,딥워터,20209685,요아힘 헤덴
